Package                       Version
----------------------------- -----------
alabaster                     1.0.0
attrs                         25.4.0
Automat                       25.4.16
babel                         2.18.0
build                         1.4.0
certifi                       2026.2.25
charset-normalizer            3.4.5
click                         8.3.1
cmake                         4.2.3
constantly                    23.10.4
coverage                      7.13.5
docutils                      0.22.4
flake8                        7.3.0
hyperlink                     21.0.0
idna                          3.11
imagesize                     2.0.0
Incremental                   24.11.0
iniconfig                     2.3.0
Jinja2                        3.1.6
MarkupSafe                    3.0.3
mccabe                        0.7.0
numpy                         2.4.3
packaging                     26.0
pandas                        3.0.1
pip                           26.0.1
playhelpers                   7.0.7
pluggy                        1.6.0
psutil                        7.2.2
pycodestyle                   2.14.0
pycryptodome                  3.23.0
pyflakes                      3.4.0
Pygments                      2.19.2
pyproject_hooks               1.2.0
pytest                        9.0.2
python-dateutil               2.9.0.post0
requests                      2.32.5
roman-numerals                4.1.0
ruamel.yaml                   0.19.1
six                           1.17.0
snowballstemmer               3.0.1
Sphinx                        9.1.0
sphinx_rtd_theme              3.1.0
sphinxcontrib-applehelp       2.0.0
sphinxcontrib-devhelp         2.0.0
sphinxcontrib-htmlhelp        2.1.0
sphinxcontrib-jquery          4.1
sphinxcontrib-jsmath          1.0.1
sphinxcontrib-qthelp          2.0.0
sphinxcontrib-serializinghtml 2.0.0
Twisted                       25.5.0
typing_extensions             4.15.0
tzlocal                       5.3.1
urllib3                       2.6.3
wheel                         0.46.3
zope.interface                8.2
